gate_type,n_windows_total,n_train,n_val,n_test,input_dim,emb_dim,best_val_mse,test_mse,test_rmse,test_mae
RA_alignment,562,359,90,113,14,768,3435.7667541503906,1064.9610595703125,32.63374112127374,24.709850311279297
RA_full,562,359,90,113,14,768,3457.1531372070312,1100.617919921875,33.17556208901177,25.436847686767578
RA_missingness,562,359,90,113,14,768,3474.737991333008,1109.925537109375,33.315544976922936,25.43868064880371
RA_recency,562,359,90,113,14,768,3476.3353118896484,1116.8173828125,33.41881779495648,25.688364028930664
GR_Add,562,359,90,113,14,768,3483.120808919271,1118.1240234375,33.43836155432111,25.277423858642578
RA_density,562,359,90,113,14,768,3490.0951487223306,1136.7237548828125,33.71533412088352,26.040966033935547
